13:54:37 50 docs → 193 segments
18:40:23 [epoch 275/3000] nll=0.0340  best=0.0181  con=0.0240
18:41:25 [epoch 276/3000] nll=0.0287  best=0.0181  con=0.0241
18:42:27 [epoch 277/3000] nll=0.0234  best=0.0181  con=0.0239
18:43:29 [epoch 278/3000] nll=0.0199  best=0.0181  con=0.0238
18:44:31 [epoch 279/3000] nll=0.0238  best=0.0181  con=0.0239
18:45:33 [epoch 280/3000] nll=0.0211  best=0.0181  con=0.0237
18:46:35 [epoch 281/3000] nll=0.0190  best=0.0181  con=0.0240
18:47:37 [epoch 282/3000] nll=0.0182  best=0.0181  con=0.0243
18:48:39 [epoch 283/3000] nll=0.0179  best=0.0181  con=0.0239
18:49:42 [epoch 284/3000] nll=0.0190  best=0.0179  con=0.0236
18:50:44 [epoch 285/3000] nll=0.0223  best=0.0179  con=0.0241
18:51:46 [epoch 286/3000] nll=0.0249  best=0.0179  con=0.0238
18:52:48 [epoch 287/3000] nll=0.0245  best=0.0179  con=0.0239
18:53:50 [epoch 288/3000] nll=0.0252  best=0.0179  con=0.0237
18:54:52 [epoch 289/3000] nll=0.0196  best=0.0179  con=0.0238
18:55:54 [epoch 290/3000] nll=0.0185  best=0.0179  con=0.0238
18:56:56 [epoch 291/3000] nll=0.0178  best=0.0179  con=0.0238
18:57:58 [epoch 292/3000] nll=0.0187  best=0.0178  con=0.0238
18:59:00 [epoch 293/3000] nll=0.0171  best=0.0178  con=0.0243
19:00:02 [epoch 294/3000] nll=0.0176  best=0.0171  con=0.0241
19:01:04 [epoch 295/3000] nll=0.0293  best=0.0171  con=0.0236
19:02:06 [epoch 296/3000] nll=0.0206  best=0.0171  con=0.0237
19:03:08 [epoch 297/3000] nll=0.0216  best=0.0171  con=0.0238
19:04:10 [epoch 298/3000] nll=0.0205  best=0.0171  con=0.0239
19:05:12 [epoch 299/3000] nll=0.0208  best=0.0171  con=0.0236
19:06:14 [epoch 300/3000] nll=0.0200  best=0.0171  con=0.0240
19:07:16 [epoch 301/3000] nll=0.0227  best=0.0171  con=0.0243
19:08:18 [epoch 302/3000] nll=0.0179  best=0.0171  con=0.0236
19:09:20 [epoch 303/3000] nll=0.0169  best=0.0171  con=0.0237
19:10:22 [epoch 304/3000] nll=0.0165  best=0.0169  con=0.0237
19:11:24 [epoch 305/3000] nll=0.0269  best=0.0165  con=0.0238
19:12:26 [epoch 306/3000] nll=0.0207  best=0.0165  con=0.0238
19:13:28 [epoch 307/3000] nll=0.0173  best=0.0165  con=0.0238
19:14:30 [epoch 308/3000] nll=0.0161  best=0.0165  con=0.0241
19:15:32 [epoch 309/3000] nll=0.0157  best=0.0161  con=0.0237
19:16:35 [epoch 310/3000] nll=0.0154  best=0.0157  con=0.0240
19:17:37 [epoch 311/3000] nll=0.0151  best=0.0154  con=0.0236
19:18:39 [epoch 312/3000] nll=0.0151  best=0.0151  con=0.0239
19:19:41 [epoch 313/3000] nll=0.0149  best=0.0151  con=0.0241
19:20:43 [epoch 314/3000] nll=0.0148  best=0.0149  con=0.0241
19:21:45 [epoch 315/3000] nll=0.0149  best=0.0148  con=0.0237
19:22:47 [epoch 316/3000] nll=0.0147  best=0.0148  con=0.0240
19:23:49 [epoch 317/3000] nll=0.0153  best=0.0147  con=0.0240
19:24:51 [epoch 318/3000] nll=0.0160  best=0.0147  con=0.0238
19:25:53 [epoch 319/3000] nll=0.0188  best=0.0147  con=0.0240
19:26:55 [epoch 320/3000] nll=0.0260  best=0.0147  con=0.0238
19:27:57 [epoch 321/3000] nll=0.0229  best=0.0147  con=0.0240
19:28:59 [epoch 322/3000] nll=0.0206  best=0.0147  con=0.0235
19:30:01 [epoch 323/3000] nll=0.0188  best=0.0147  con=0.0238
19:31:03 [epoch 324/3000] nll=0.0184  best=0.0147  con=0.0239
19:32:05 [epoch 325/3000] nll=0.0155  best=0.0147  con=0.0237
19:33:07 [epoch 326/3000] nll=0.0143  best=0.0147  con=0.0237
19:34:10 [epoch 327/3000] nll=0.0143  best=0.0143  con=0.0235
19:35:12 [epoch 328/3000] nll=0.0140  best=0.0143  con=0.0235
19:36:14 [epoch 329/3000] nll=0.0142  best=0.0140  con=0.0238
19:37:16 [epoch 330/3000] nll=0.0136  best=0.0140  con=0.0236
19:38:18 [epoch 331/3000] nll=0.0135  best=0.0136  con=0.0238
19:39:20 [epoch 332/3000] nll=0.0136  best=0.0135  con=0.0240
19:40:22 [epoch 333/3000] nll=0.0135  best=0.0135  con=0.0239
19:41:24 [epoch 334/3000] nll=0.0133  best=0.0135  con=0.0237
19:42:26 [epoch 335/3000] nll=0.0131  best=0.0133  con=0.0237
19:43:28 [epoch 336/3000] nll=0.0133  best=0.0131  con=0.0239
19:44:30 [epoch 337/3000] nll=0.0134  best=0.0131  con=0.0240
19:45:32 [epoch 338/3000] nll=0.0131  best=0.0131  con=0.0238
19:46:34 [epoch 339/3000] nll=0.0129  best=0.0131  con=0.0237
19:47:36 [epoch 340/3000] nll=0.0128  best=0.0129  con=0.0237
19:48:39 [epoch 341/3000] nll=0.0128  best=0.0128  con=0.0238
19:49:41 [epoch 342/3000] nll=0.0133  best=0.0128  con=0.0239
19:50:42 [epoch 343/3000] nll=0.0203  best=0.0128  con=0.0237
19:51:44 [epoch 344/3000] nll=0.0195  best=0.0128  con=0.0239
19:52:46 [epoch 345/3000] nll=0.0180  best=0.0128  con=0.0243
19:53:48 [epoch 346/3000] nll=0.0165  best=0.0128  con=0.0238
19:54:50 [epoch 347/3000] nll=0.0146  best=0.0128  con=0.0241
19:55:52 [epoch 348/3000] nll=0.0131  best=0.0128  con=0.0239
19:56:54 [epoch 349/3000] nll=0.0129  best=0.0128  con=0.0239
19:57:56 [epoch 350/3000] nll=0.0125  best=0.0128  con=0.0240
19:58:59 [epoch 351/3000] nll=0.0124  best=0.0125  con=0.0237
20:00:01 [epoch 352/3000] nll=0.0122  best=0.0124  con=0.0239
20:01:03 [epoch 353/3000] nll=0.0119  best=0.0122  con=0.0238
20:02:05 [epoch 354/3000] nll=0.0118  best=0.0119  con=0.0239
