18:12:02 50 docs → 50 segments
19:29:04 [epoch 211/3000] nll=0.0905  best=0.0636  con=0.7983
19:29:26 [epoch 212/3000] nll=0.0892  best=0.0636  con=0.7970
19:29:47 [epoch 213/3000] nll=0.0882  best=0.0636  con=0.7938
19:30:09 [epoch 214/3000] nll=0.0814  best=0.0636  con=0.7918
19:30:31 [epoch 215/3000] nll=0.0682  best=0.0636  con=0.7888
19:30:53 [epoch 216/3000] nll=0.0610  best=0.0636  con=0.7858
19:31:15 [epoch 217/3000] nll=0.0596  best=0.0610  con=0.7827
19:31:36 [epoch 218/3000] nll=0.0587  best=0.0596  con=0.7796
19:31:58 [epoch 219/3000] nll=0.0578  best=0.0587  con=0.7765
19:32:20 [epoch 220/3000] nll=0.0572  best=0.0578  con=0.7735
19:32:42 [epoch 221/3000] nll=0.0568  best=0.0572  con=0.7706
19:33:04 [epoch 222/3000] nll=0.0565  best=0.0568  con=0.7676
19:33:25 [epoch 223/3000] nll=0.0561  best=0.0565  con=0.7647
19:33:47 [epoch 224/3000] nll=0.0558  best=0.0561  con=0.7619
19:34:09 [epoch 225/3000] nll=0.0556  best=0.0558  con=0.7590
19:34:31 [epoch 226/3000] nll=0.0553  best=0.0556  con=0.7562
19:34:53 [epoch 227/3000] nll=0.0551  best=0.0553  con=0.7534
19:35:14 [epoch 228/3000] nll=0.0549  best=0.0551  con=0.7506
19:35:36 [epoch 229/3000] nll=0.0547  best=0.0549  con=0.7478
19:35:58 [epoch 230/3000] nll=0.0545  best=0.0547  con=0.7451
19:36:20 [epoch 231/3000] nll=0.0543  best=0.0545  con=0.7424
19:36:42 [epoch 232/3000] nll=0.0541  best=0.0543  con=0.7397
19:37:03 [epoch 233/3000] nll=0.0539  best=0.0541  con=0.7370
19:37:25 [epoch 234/3000] nll=0.0538  best=0.0539  con=0.7344
19:37:47 [epoch 235/3000] nll=0.0536  best=0.0538  con=0.7317
19:38:09 [epoch 236/3000] nll=0.0535  best=0.0536  con=0.7292
19:38:31 [epoch 237/3000] nll=0.0534  best=0.0535  con=0.7266
19:38:52 [epoch 238/3000] nll=0.0533  best=0.0534  con=0.7241
19:39:14 [epoch 239/3000] nll=0.0531  best=0.0533  con=0.7216
19:39:36 [epoch 240/3000] nll=0.0530  best=0.0531  con=0.7190
19:39:58 [epoch 241/3000] nll=0.0528  best=0.0530  con=0.7166
19:40:20 [epoch 242/3000] nll=0.0527  best=0.0528  con=0.7141
19:40:41 [epoch 243/3000] nll=0.0526  best=0.0527  con=0.7117
19:41:03 [epoch 244/3000] nll=0.0525  best=0.0526  con=0.7093
19:41:25 [epoch 245/3000] nll=0.0525  best=0.0525  con=0.7069
19:41:47 [epoch 246/3000] nll=0.0530  best=0.0525  con=0.7046
19:42:08 [epoch 247/3000] nll=0.0771  best=0.0525  con=0.7026
19:42:30 [epoch 248/3000] nll=0.0884  best=0.0525  con=0.7014
19:42:52 [epoch 249/3000] nll=0.0892  best=0.0525  con=0.6998
19:43:14 [epoch 250/3000] nll=0.0776  best=0.0525  con=0.6986
19:43:36 [epoch 251/3000] nll=0.0785  best=0.0525  con=0.6968
19:43:58 [epoch 252/3000] nll=0.0652  best=0.0525  con=0.6951
19:44:19 [epoch 253/3000] nll=0.0572  best=0.0525  con=0.6930
19:44:41 [epoch 254/3000] nll=0.0580  best=0.0525  con=0.6908
19:45:03 [epoch 255/3000] nll=0.1104  best=0.0525  con=0.6891
19:45:25 [epoch 256/3000] nll=0.0951  best=0.0525  con=0.6873
19:45:46 [epoch 257/3000] nll=0.0806  best=0.0525  con=0.6859
19:46:08 [epoch 258/3000] nll=0.0946  best=0.0525  con=0.6852
19:46:30 [epoch 259/3000] nll=0.0895  best=0.0525  con=0.6840
19:46:52 [epoch 260/3000] nll=0.0853  best=0.0525  con=0.6829
19:47:14 [epoch 261/3000] nll=0.0818  best=0.0525  con=0.6816
19:47:35 [epoch 262/3000] nll=0.0733  best=0.0525  con=0.6801
19:47:57 [epoch 263/3000] nll=0.0702  best=0.0525  con=0.6789
19:48:19 [epoch 264/3000] nll=0.0678  best=0.0525  con=0.6769
19:48:41 [epoch 265/3000] nll=0.0662  best=0.0525  con=0.6760
19:49:03 [epoch 266/3000] nll=0.0737  best=0.0525  con=0.6745
19:49:24 [epoch 267/3000] nll=0.0621  best=0.0525  con=0.6729
19:49:46 [epoch 268/3000] nll=0.0658  best=0.0525  con=0.6716
19:50:08 [epoch 269/3000] nll=0.0573  best=0.0525  con=0.6697
19:50:30 [epoch 270/3000] nll=0.0538  best=0.0525  con=0.6679
19:50:52 [epoch 271/3000] nll=0.0525  best=0.0525  con=0.6659
19:51:13 [epoch 272/3000] nll=0.0515  best=0.0525  con=0.6640
19:51:35 [epoch 273/3000] nll=0.0512  best=0.0515  con=0.6619
19:51:57 [epoch 274/3000] nll=0.0509  best=0.0512  con=0.6599
19:52:19 [epoch 275/3000] nll=0.0508  best=0.0509  con=0.6579
19:52:41 [epoch 276/3000] nll=0.0505  best=0.0508  con=0.6560
19:53:02 [epoch 277/3000] nll=0.0504  best=0.0505  con=0.6540
19:53:24 [epoch 278/3000] nll=0.0506  best=0.0504  con=0.6521
19:53:46 [epoch 279/3000] nll=0.0645  best=0.0504  con=0.6501
19:54:08 [epoch 280/3000] nll=0.0683  best=0.0504  con=0.6493
19:54:30 [epoch 281/3000] nll=0.1067  best=0.0504  con=0.6477
19:54:51 [epoch 282/3000] nll=0.1121  best=0.0504  con=0.6473
19:55:13 [epoch 283/3000] nll=0.1022  best=0.0504  con=0.6453
19:55:35 [epoch 284/3000] nll=0.0877  best=0.0504  con=0.6433
19:55:57 [epoch 285/3000] nll=0.0820  best=0.0504  con=0.6414
19:56:19 [epoch 286/3000] nll=0.0745  best=0.0504  con=0.6398
19:56:41 [epoch 287/3000] nll=0.0618  best=0.0504  con=0.6384
19:57:02 [epoch 288/3000] nll=0.0610  best=0.0504  con=0.6371
19:57:24 [epoch 289/3000] nll=0.0628  best=0.0504  con=0.6360
19:57:46 [epoch 290/3000] nll=0.1165  best=0.0504  con=0.6341
19:58:08 [epoch 291/3000] nll=0.0637  best=0.0504  con=0.6331
19:58:30 [epoch 292/3000] nll=0.0571  best=0.0504  con=0.6314
19:58:51 [epoch 293/3000] nll=0.1426  best=0.0504  con=0.6305
19:59:13 [epoch 294/3000] nll=0.0860  best=0.0504  con=0.6290
19:59:35 [epoch 295/3000] nll=0.0772  best=0.0504  con=0.6276
19:59:57 [epoch 296/3000] nll=0.0672  best=0.0504  con=0.6263
20:00:19 [epoch 297/3000] nll=0.0802  best=0.0504  con=0.6252
20:00:40 [epoch 298/3000] nll=0.0814  best=0.0504  con=0.6239
20:01:02 [epoch 299/3000] nll=0.0717  best=0.0504  con=0.6224
20:01:24 [epoch 300/3000] nll=0.0595  best=0.0504  con=0.6210
20:01:46 [epoch 301/3000] nll=0.0573  best=0.0504  con=0.6195
20:02:08 [epoch 302/3000] nll=0.0709  best=0.0504  con=0.6185
20:02:29 [epoch 303/3000] nll=0.0618  best=0.0504  con=0.6171
20:02:51 [epoch 304/3000] nll=0.0596  best=0.0504  con=0.6161
20:03:13 [epoch 305/3000] nll=0.0598  best=0.0504  con=0.6149
20:03:35 [epoch 306/3000] nll=0.0640  best=0.0504  con=0.6144
20:03:57 [epoch 307/3000] nll=0.0582  best=0.0504  con=0.6135
20:04:18 [epoch 308/3000] nll=0.0640  best=0.0504  con=0.6118
20:04:40 [epoch 309/3000] nll=0.0592  best=0.0504  con=0.6107
20:05:02 [epoch 310/3000] nll=0.0637  best=0.0504  con=0.6095
20:05:24 [epoch 311/3000] nll=0.0523  best=0.0504  con=0.6082
20:05:45 [epoch 312/3000] nll=0.0502  best=0.0504  con=0.6067
20:06:07 [epoch 313/3000] nll=0.0496  best=0.0502  con=0.6051
20:06:29 [epoch 314/3000] nll=0.0491  best=0.0496  con=0.6035
20:06:51 [epoch 315/3000] nll=0.0487  best=0.0491  con=0.6019
20:07:13 [epoch 316/3000] nll=0.0483  best=0.0487  con=0.6004
20:07:34 [epoch 317/3000] nll=0.0481  best=0.0483  con=0.5988
20:07:56 [epoch 318/3000] nll=0.0479  best=0.0481  con=0.5973
20:08:18 [epoch 319/3000] nll=0.0478  best=0.0479  con=0.5957
20:08:40 [epoch 320/3000] nll=0.0477  best=0.0478  con=0.5942
20:09:02 [epoch 321/3000] nll=0.0476  best=0.0477  con=0.5927
20:09:23 [epoch 322/3000] nll=0.0475  best=0.0476  con=0.5912
20:09:45 [epoch 323/3000] nll=0.0474  best=0.0475  con=0.5897
20:10:07 [epoch 324/3000] nll=0.0473  best=0.0474  con=0.5882
20:10:29 [epoch 325/3000] nll=0.0472  best=0.0473  con=0.5867
20:10:51 [epoch 326/3000] nll=0.0472  best=0.0472  con=0.5852
20:11:13 [epoch 327/3000] nll=0.0471  best=0.0472  con=0.5838
20:11:34 [epoch 328/3000] nll=0.0471  best=0.0471  con=0.5824
20:11:56 [epoch 329/3000] nll=0.0470  best=0.0471  con=0.5809
20:12:18 [epoch 330/3000] nll=0.0468  best=0.0470  con=0.5796
20:12:40 [epoch 331/3000] nll=0.0468  best=0.0468  con=0.5781
20:13:02 [epoch 332/3000] nll=0.0467  best=0.0468  con=0.5767
20:13:23 [epoch 333/3000] nll=0.0467  best=0.0467  con=0.5753
20:13:45 [epoch 334/3000] nll=0.0466  best=0.0467  con=0.5740
20:14:07 [epoch 335/3000] nll=0.0465  best=0.0466  con=0.5726
20:14:29 [epoch 336/3000] nll=0.0465  best=0.0465  con=0.5712
20:14:51 [epoch 337/3000] nll=0.0464  best=0.0465  con=0.5699
20:15:12 [epoch 338/3000] nll=0.0463  best=0.0464  con=0.5686
20:15:34 [epoch 339/3000] nll=0.0463  best=0.0463  con=0.5673
20:15:56 [epoch 340/3000] nll=0.0461  best=0.0463  con=0.5659
20:16:18 [epoch 341/3000] nll=0.0461  best=0.0461  con=0.5647
20:16:40 [epoch 342/3000] nll=0.0460  best=0.0461  con=0.5634
20:17:01 [epoch 343/3000] nll=0.0459  best=0.0460  con=0.5620
